affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
"The University of Tokyo, Graduate School of Agricultural and Life Sciences, Department of Global Agricultural Sciences and University of Tokyo","The University of Tokyo, Graduate School of Agricultural and Life Sciences, Department of Global Agricultural Sciences",University of Tokyo,97,,,
College of Sciences and Arts in Rass and Qassim University - College of Computer,College of Sciences and Arts in Rass,Qassim University - College of Computer,97,,,
"Aston University - Aston Business School and Aston University, Aston Business School, Economics and Strategy",Aston University - Aston Business School,"Aston University, Aston Business School, Economics and Strategy",97,,,
"Institute for Austrian and International Tax Law, Vienna University of Economics and Business (WU) and University of Western Australia Law School","Institute for Austrian and International Tax Law, Vienna University of Economics and Business (WU)",University of Western Australia Law School,97,,,
Ifo Institute for Economic Research - International Trade and Foreign Direct Investment and S.P. Jain Institute of Management & Research,Ifo Institute for Economic Research - International Trade and Foreign Direct Investment,S.P. Jain Institute of Management & Research,97,,,
Trakia University and University of Agribusiness and Rural Development,Trakia University,University of Agribusiness and Rural Development,97,,,
Lingnan University - Department of Finance and Insurance and University of Calgary - Department of Economics,Lingnan University - Department of Finance and Insurance,University of Calgary - Department of Economics,97,,,
Institute for Social and Economic Change (ISEC) and Institute of Social and Economic Change (ISEC),Institute for Social and Economic Change (ISEC),Institute of Social and Economic Change (ISEC),97,,,
National Institute of Population and Social Security Research and Waseda University - Faculty of Education and Integrated Arts and Sciences,National Institute of Population and Social Security Research,Waseda University - Faculty of Education and Integrated Arts and Sciences,97,,,
"University of Cologne and University of Cologne - Faculty of Management, Economics and Social Sciences",University of Cologne,"University of Cologne - Faculty of Management, Economics and Social Sciences",97,,,
Harvard Business School - Technology and Operations Management Unit and Harvard University Lab for Innovation Sciences,Harvard Business School - Technology and Operations Management Unit,Harvard University Lab for Innovation Sciences,97,,,
University of Wisconsin-Madison and Cornell University - Department of Policy Analysis and Management,University of Wisconsin-Madison,Cornell University - Department of Policy Analysis and Management,97,,,
Global Academy of Training and Research (GATR) and Khonkaen University,Global Academy of Training and Research (GATR),Khonkaen University,97,,,
"National School of Commerce and Management of Tangier, Morocco and Ibn Tofail University in Kenitra, Morocco","National School of Commerce and Management of Tangier, Morocco","Ibn Tofail University in Kenitra, Morocco",97,,,
University of Pisa - Department of Economics and Management and Columbia University,University of Pisa - Department of Economics and Management,Columbia University,97,,,
Max Planck Society for the Advancement of the Sciences - Max Planck Institute for the Study of Religious and Ethnic Diversity and Cornell University,Max Planck Society for the Advancement of the Sciences - Max Planck Institute for the Study of Religious and Ethnic Diversity,Cornell University,97,,,
"School of Management and Economics, CUHK (SZ) and Dongbei University of Finance & Economics","School of Management and Economics, CUHK (SZ)",Dongbei University of Finance & Economics,97,,,
Harvard University - Business School (HBS) and London School of Economics & Political Science (LSE) - Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD),Harvard University - Business School (HBS),London School of Economics & Political Science (LSE) - Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD),97,,,
Trakia University and University of Agribusiness and Rural Development,Trakia University,University of Agribusiness and Rural Development,97,,,
Trakia University and University of Agribusiness and Rural Development,Trakia University,University of Agribusiness and Rural Development,97,,,
Trakia University and University of Agribusiness and Rural Development,Trakia University,University of Agribusiness and Rural Development,97,,,
"University of Pennsylvania and Multicultural Media, Telecom and Internet Council","University of Pennsylvania and Multicultural Media, Telecom",Internet Council,97,,,
Trakia University and University of Agribusiness and Rural Development,Trakia University,University of Agribusiness and Rural Development,97,,,
University of Glasgow - Department of Urban Studies and School of Social and Political Sciences,University of Glasgow - Department of Urban Studies,School of Social and Political Sciences,97,,,
